save_as,type,race,tr_name,en_name,prompt
races/spider.png,race,spider,Örümcek,Spider,"Portrait of Spider, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, iconic hero pose, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
races/human.png,race,human,İnsan,Human,"Portrait of Human, a humanoid warrior or mage figure, armor and cloak, iconic hero pose, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
races/slime.png,race,slime,Sümüklü / Slime,Slime,"Portrait of Slime, a gelatinous translucent slime creature, glossy wet body, glowing core, iconic hero pose, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
races/skeleton.png,race,skeleton,İskelet,Skeleton,"Portrait of Skeleton, an undead skeletal being, bleached bone, dark necrotic aura, iconic hero pose, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
races/wyrmling.png,race,wyrmling,Ejderha Yavrusu,Wyrmling,"Portrait of Wyrmling, a scaled draconic wyrm, leathery wings, sharp horns and claws, iconic hero pose, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
races/golem.png,race,golem,Golem,Golem,"Portrait of Golem, a massive stone-and-rock golem, carved runes, glowing molten cracks, iconic hero pose, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/hatchling_spider.png,form,spider,Yavru Örümcek,Hatchling Spider,"Hatchling Spider, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, newborn small form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/lesser_weaver.png,form,spider,Küçük Dokumacı,Lesser Weaver,"Lesser Weaver, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, young growing form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/venom_weaver.png,form,spider,Zehir Dokumacısı,Venom Weaver,"Venom Weaver, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, matured form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/shade_stalker.png,form,spider,Gölge Avcısı,Shade Stalker,"Shade Stalker, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, matured form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/zoa_ele.png,form,spider,Zoa Ele,Zoa Ele,"Zoa Ele, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, powerful elite form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/greater_weaver.png,form,spider,Büyük Dokumacı,Greater Weaver,"Greater Weaver, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, powerful elite form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/dread_weaver.png,form,spider,Dehşet Dokumacısı,Dread Weaver,"Dread Weaver, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, powerful elite form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/scythe_hunter.png,form,spider,Tırpan Avcısı,Scythe Hunter,"Scythe Hunter, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, powerful elite form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/blade_weaver.png,form,spider,Bıçak Dokumacısı,Blade Weaver,"Blade Weaver, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, powerful elite form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/ede_saine.png,form,spider,Ede Saine,Ede Saine,"Ede Saine, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/colossal_weaver.png,form,spider,Devasa Dokumacı,Colossal Weaver,"Colossal Weaver, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/broodmother.png,form,spider,Ana Örümcek,Broodmother,"Broodmother, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/toxic_horror.png,form,spider,Zehirli Dehşet,Toxic Horror,"Toxic Horror, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/plague_weaver.png,form,spider,Veba Örücü,Plague Weaver,"Plague Weaver, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/phantom_stalker_sp.png,form,spider,Hayalet Avcı,Phantom Stalker,"Phantom Stalker, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/undying_horror.png,form,spider,Ölümsüz Dehşet,Undying Horror,"Undying Horror, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/carapace_lord_sp.png,form,spider,Kabuk Lordu,Carapace Lord,"Carapace Lord, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/blade_sovereign_sp.png,form,spider,Bıçak Hükümdarı,Blade Sovereign,"Blade Sovereign, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/arachne.png,form,spider,Arachne,Arachne,"Arachne, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/web_lord.png,form,spider,Ağ Lordu,Web Lord,"Web Lord, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/silk_god.png,form,spider,İpek Tanrısı,Silk God,"Silk God, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/brood_sovereign.png,form,spider,Yuva Hükümdarı,Brood Sovereign,"Brood Sovereign, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/spider_queen.png,form,spider,Örümcek Kraliçesi,Spider Queen,"Spider Queen, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/venom_sovereign_sp.png,form,spider,Ağı Hükümdarı,Venom Sovereign,"Venom Sovereign, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/revenant_horror.png,form,spider,Hortlak Dehşet,Revenant Horror,"Revenant Horror, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/plague_god_sp.png,form,spider,Veba Tanrısı,Plague God,"Plague God, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/abyssal_sovereign.png,form,spider,Uçurum Hükümdarı,Abyssal Sovereign,"Abyssal Sovereign, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/shadow_sovereign_sp.png,form,spider,Gölge Hükümdarı,Shadow Sovereign,"Shadow Sovereign, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/nightmare_spider.png,form,spider,Kâbus Örümceği,Nightmare Spider,"Nightmare Spider, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/eternal_horror.png,form,spider,Ebedi Dehşet,Eternal Horror,"Eternal Horror, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/wraith_sovereign.png,form,spider,Tayf Hükümdarı,Wraith Sovereign,"Wraith Sovereign, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/iron_arachnid.png,form,spider,Demir Örümcek,Iron Arachnid,"Iron Arachnid, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/elder_sovereign.png,form,spider,Kadim Hükümdar,Elder Sovereign,"Elder Sovereign, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/scythe_sovereign.png,form,spider,Tırpan Hükümdarı,Scythe Sovereign,"Scythe Sovereign, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/arachnid_sovereign.png,form,spider,Örümcek Hükümdarı,Arachnid Sovereign,"Arachnid Sovereign, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/zana_horowa.png,form,spider,Zana Horowa,Zana Horowa,"Zana Horowa, a monstrous giant spider, chitinous armored body, eight sharp legs, multiple glowing eyes, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/slime_larva.png,form,slime,Sümüklü Larva,Slime Larva,"Slime Larva, a gelatinous translucent slime creature, glossy wet body, glowing core, newborn small form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/ooze_spawn.png,form,slime,Balçık Yavrusu,Ooze Spawn,"Ooze Spawn, a gelatinous translucent slime creature, glossy wet body, glowing core, young growing form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/demon_slime.png,form,slime,İblis Slime,Demon Slime,"Demon Slime, a gelatinous translucent slime creature, glossy wet body, glowing core, matured form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/acid_ooze.png,form,slime,Asit Balçığı,Acid Ooze,"Acid Ooze, a gelatinous translucent slime creature, glossy wet body, glowing core, matured form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/crystalline_ooze.png,form,slime,Kristal Balçık,Crystalline Ooze,"Crystalline Ooze, a gelatinous translucent slime creature, glossy wet body, glowing core, matured form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/rimuru_tempest.png,form,slime,Rimuru Tempest,Rimuru Tempest,"Rimuru Tempest, a gelatinous translucent slime creature, glossy wet body, glowing core, powerful elite form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/toxic_ooze.png,form,slime,Zehirli Sümük,Toxic Ooze,"Toxic Ooze, a gelatinous translucent slime creature, glossy wet body, glowing core, powerful elite form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/corrosive_horror.png,form,slime,Aşındırıcı Dehşet,Corrosive Horror,"Corrosive Horror, a gelatinous translucent slime creature, glossy wet body, glowing core, powerful elite form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/mirror_ooze.png,form,slime,Ayna Balçığı,Mirror Ooze,"Mirror Ooze, a gelatinous translucent slime creature, glossy wet body, glowing core, powerful elite form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/blob_slime.png,form,slime,Blob Sümüklü,Blob Slime,"Blob Slime, a gelatinous translucent slime creature, glossy wet body, glowing core, powerful elite form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/demon_lord_rimuru.png,form,slime,Demon Lord Rimuru,Demon Lord Rimuru,"Demon Lord Rimuru, a gelatinous translucent slime creature, glossy wet body, glowing core, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/plague_ooze.png,form,slime,Veba Sümüğü,Plague Ooze,"Plague Ooze, a gelatinous translucent slime creature, glossy wet body, glowing core, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/venom_ooze.png,form,slime,Ağı Sümüğü,Venom Ooze,"Venom Ooze, a gelatinous translucent slime creature, glossy wet body, glowing core, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/dissolver_ooze.png,form,slime,Çözücü Sümük,Dissolver Ooze,"Dissolver Ooze, a gelatinous translucent slime creature, glossy wet body, glowing core, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/devourer_slime.png,form,slime,Yutan Sümüklü,Devourer Slime,"Devourer Slime, a gelatinous translucent slime creature, glossy wet body, glowing core, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/prism_ooze.png,form,slime,Prizma Sümük,Prism Ooze,"Prism Ooze, a gelatinous translucent slime creature, glossy wet body, glowing core, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/reflector_ooze.png,form,slime,Yansıtıcı Sümük,Reflector Ooze,"Reflector Ooze, a gelatinous translucent slime creature, glossy wet body, glowing core, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/diamond_ooze.png,form,slime,Elmas Sümük,Diamond Ooze,"Diamond Ooze, a gelatinous translucent slime creature, glossy wet body, glowing core, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/shard_ooze.png,form,slime,Kıymık Sümük,Shard Ooze,"Shard Ooze, a gelatinous translucent slime creature, glossy wet body, glowing core, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/toxic_sovereign.png,form,slime,Toksik Hükümdar,Toxic Sovereign,"Toxic Sovereign, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/plague_god.png,form,slime,Veba Tanrısı,Plague God,"Plague God, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/venom_overlord.png,form,slime,Ağı Efendisi,Venom Overlord,"Venom Overlord, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/elder_ooze.png,form,slime,Kadim Balçık,Elder Ooze,"Elder Ooze, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/acid_god.png,form,slime,Asit Tanrısı,Acid God,"Acid God, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/void_ooze.png,form,slime,Boşluk Balçığı,Void Ooze,"Void Ooze, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/void_devourer.png,form,slime,Boşluk Yutucu,Void Devourer,"Void Devourer, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/primordial_ooze.png,form,slime,İlksel Balçık,Primordial Ooze,"Primordial Ooze, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/crystal_god.png,form,slime,Kristal Tanrı,Crystal God,"Crystal God, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/primordial_god.png,form,slime,İlksel Tanrı,Primordial God,"Primordial God, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/mirror_god.png,form,slime,Ayna Tanrısı,Mirror God,"Mirror God, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/eternal_slime.png,form,slime,Sonsuz Sümüklü,Eternal Slime,"Eternal Slime, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/adamant_colossus.png,form,slime,Çelik Devası,Adamant Colossus,"Adamant Colossus, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/ancient_slime.png,form,slime,Kadim Sümüklü,Ancient Slime,"Ancient Slime, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/slime_ascendant.png,form,slime,Yükselen Sümüklü,Slime Ascendant,"Slime Ascendant, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/slime_sovereign.png,form,slime,Sümüklü Hükümdar,Slime Sovereign,"Slime Sovereign, a gelatinous translucent slime creature, glossy wet body, glowing core, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/bone_rattle.png,form,skeleton,Kemik Çıngırak,Bone Rattle,"Bone Rattle, an undead skeletal being, bleached bone, dark necrotic aura, newborn small form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/risen_skeleton.png,form,skeleton,Dirilmiş İskelet,Risen Skeleton,"Risen Skeleton, an undead skeletal being, bleached bone, dark necrotic aura, young growing form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/skeleton_warrior.png,form,skeleton,İskelet Savaşçı,Skeleton Warrior,"Skeleton Warrior, an undead skeletal being, bleached bone, dark necrotic aura, matured form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/skeleton_sorcerer.png,form,skeleton,İskelet Büyücü,Skeleton Sorcerer,"Skeleton Sorcerer, an undead skeletal being, bleached bone, dark necrotic aura, matured form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/bone_lord.png,form,skeleton,Kemik Lordu,Bone Lord,"Bone Lord, an undead skeletal being, bleached bone, dark necrotic aura, powerful elite form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/bone_archer.png,form,skeleton,Kemik Okçu,Bone Archer,"Bone Archer, an undead skeletal being, bleached bone, dark necrotic aura, powerful elite form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/lich.png,form,skeleton,Lich,Lich,"Lich, an undead skeletal being, bleached bone, dark necrotic aura, powerful elite form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/shade_knight.png,form,skeleton,Gölge Şövalye,Shade Knight,"Shade Knight, an undead skeletal being, bleached bone, dark necrotic aura, powerful elite form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/bone_titan.png,form,skeleton,Kemik Titan,Bone Titan,"Bone Titan, an undead skeletal being, bleached bone, dark necrotic aura, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/dread_reaver.png,form,skeleton,Dehşet Yağmacısı,Dread Reaver,"Dread Reaver, an undead skeletal being, bleached bone, dark necrotic aura, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/bone_sniper.png,form,skeleton,Kemik Nişancı,Bone Sniper,"Bone Sniper, an undead skeletal being, bleached bone, dark necrotic aura, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/bone_marksman.png,form,skeleton,Kemik Avcı,Bone Marksman,"Bone Marksman, an undead skeletal being, bleached bone, dark necrotic aura, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/ancient_lich.png,form,skeleton,Kadim Lich,Ancient Lich,"Ancient Lich, an undead skeletal being, bleached bone, dark necrotic aura, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/soul_reaper.png,form,skeleton,Ruh Biçen,Soul Reaper,"Soul Reaper, an undead skeletal being, bleached bone, dark necrotic aura, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/death_knight.png,form,skeleton,Ölüm Şövalyesi,Death Knight,"Death Knight, an undead skeletal being, bleached bone, dark necrotic aura, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/wraith_lord.png,form,skeleton,Tayf Lordu,Wraith Lord,"Wraith Lord, an undead skeletal being, bleached bone, dark necrotic aura, greater elder form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/undead_sovereign.png,form,skeleton,Ölümsüz Hükümdar,Undead Sovereign,"Undead Sovereign, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/bone_colossus.png,form,skeleton,Kemik Devası,Bone Colossus,"Bone Colossus, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/death_incarnate.png,form,skeleton,Ölümün Bedenleşmesi,Death Incarnate,"Death Incarnate, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/carnage_lord.png,form,skeleton,Katliam Lordu,Carnage Lord,"Carnage Lord, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/bone_artillery.png,form,skeleton,Kemik Topçusu,Bone Artillery,"Bone Artillery, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/death_archer_king.png,form,skeleton,Ölüm Okçu Kralı,Death Archer King,"Death Archer King, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
forms/soul_sniper.png,form,skeleton,Ruh Nişancı,Soul Sniper,"Soul Sniper, an undead skeletal being, bleached bone, dark necrotic aura, colossal godlike apex form, 2D pixel art, single centered character, clean transparent background, high detail, vibrant colors, dark fantasy game monster art"
